Date/Time :,2018/12/06 @ 03:08:06 PM,2018/12/07 @ 03:15:05 PM,2018/12/08 @ 02:54:44 PM,2018/12/09 @ 03:01:52 PM,2018/12/10 @ 03:08:19 PM,2018/12/11 @ 03:15:13 PM,2018/12/12 @ 02:53:47 PM
Survey Type :,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS
X Units :,Meters,Meters,Meters,Meters,Meters,Meters,Meters
Y Units :,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius
Calibrated Depth Interval :,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Distance Average :,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Time Average :,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59
Asset :,1BP2,1BP2,1BP2,1BP2,1BP2,1BP2,1BP2
Probe Name :,1BP2,1BP2,1BP2,1BP2,1BP2,1BP2,1BP2
Distance (m),Temp(C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C)

1194.962,161.860,163.222,167.484,174.793,201.056,248.530,
1195.494,161.891,162.941,167.796,175.793,202.306,248.936,
1195.994,161.891,163.347,168.296,176.605,202.056,250.280,
1196.494,161.954,163.597,169.015,177.855,202.681,251.373,
1197.025,162.298,163.597,169.640,178.918,204.744,252.405,
1197.525,162.704,163.785,169.702,179.230,206.900,253.186,
1198.025,162.735,163.972,169.796,179.386,205.775,253.217,
1198.556,162.891,163.754,169.734,179.355,205.775,252.342,
1199.056,162.641,163.816,169.734,178.980,206.244,252.123,
1199.556,162.673,163.847,169.702,178.886,205.838,250.998,
1200.087,162.610,163.785,169.296,178.261,205.869,251.530,
1200.587,162.423,163.472,168.202,177.136,204.900,250.280,
1201.087,161.923,163.379,167.827,175.199,203.181,247.498,
1201.619,161.548,162.879,167.015,174.199,200.806,247.405,
1202.119,161.610,163.097,166.671,173.886,200.806,247.217,
1202.619,161.610,163.004,167.046,174.230,202.369,247.717,
1203.150,161.704,163.004,167.609,175.605,202.431,248.061,
1203.650,162.016,163.347,168.765,176.824,203.869,250.311,
1204.150,162.454,163.535,168.859,178.230,205.963,251.217,
1204.681,162.704,163.410,169.952,178.761,206.119,253.155,
1205.181,162.360,163.597,169.765,179.105,207.713,254.592,
1205.681,162.298,163.629,169.859,179.886,208.775,254.436,
1206.212,162.141,163.504,169.984,179.855,209.744,254.748,
1206.712,161.923,163.254,169.577,179.043,210.369,253.780,
1207.212,161.891,163.222,168.452,176.668,207.963,250.592,
1207.744,161.548,163.097,167.546,174.824,202.963,247.842,
1208.244,161.454,162.722,167.202,173.949,201.681,246.092,
1208.744,161.173,162.722,167.327,174.886,201.181,247.092,
1209.275,161.079,162.847,168.202,176.543,200.650,250.373,
